trip_count ,duration_sum        ,duration_avg        ,dim_year,dim_month,dim_hour,dim_user                                          
-----------,--------------------,--------------------,--------,---------,--------,--------------------------------------------------
       1634,             6144086,                3760,    2020,        3,      14,Casual Member                                     
      10815,             8595838,                 794,    2020,        3,      17,Annual Member                                     
        568,              399099,                 702,    2020,        3,       0,Annual Member                                     
        276,              536825,                1945,    2020,        4,       9,Casual Member                                     
       3376,             2778110,                 822,    2020,        4,      12,Annual Member                                     
       2447,             2068862,                 845,    2020,        5,       7,Annual Member                                     
       3020,             8860919,                2934,    2020,        5,      21,Casual Member                                     
        108,              214426,                1985,    2020,        5,       4,Casual Member                                     
      17100,            12749556,                 745,    2021,        8,      14,Annual Member                                     
      14018,            20246621,                1444,    2021,        8,      15,Casual Member                                     
      28820,            22623954,                 785,    2021,        8,      18,Annual Member                                     
      13016,             8848628,                 679,    2021,        9,       9,Annual Member                                     
       5872,             7731511,                1316,    2021,        9,      10,Casual Member                                     
      16594,            12282073,                 740,    2021,        9,      13,Annual Member                                     
       9201,             6653100,                 723,    2019,        3,       8,Annual Member                                     
       3852,             2348758,                 609,    2019,        3,      12,Annual Member                                     
        143,              172076,                1203,    2019,        3,      22,Casual Member                                     
       5296,             3735654,                 705,    2019,        4,       7,Annual Member                                     
       2361,             3942502,                1669,    2019,        4,      17,Casual Member                                     
        538,              647485,                1203,    2019,        4,      21,Casual Member                                     
        215,              323006,                1502,    2019,        4,       0,Casual Member                                     
        582,              486379,                 835,    2019,        5,       2,Annual Member                                     
       5131,             9008101,                1755,    2019,        5,      16,Casual Member                                     
       2768,             5103139,                1843,    2021,        5,       9,Casual Member                                     
      12757,            26073169,                2043,    2021,        5,      13,Casual Member                                     
        387,              535229,                1383,    2021,        6,       4,Casual Member                                     
       9253,             7173683,                 775,    2021,        6,       7,Annual Member                                     
       1823,             2938312,                1611,    2021,        6,       8,Casual Member                                     
      32353,            27541828,                 851,    2019,        8,      17,Annual Member                                     
      14519,            28186680,                1941,    2019,        8,      18,Casual Member                                     
       9081,             7013675,                 772,    2019,        8,      21,Annual Member                                     
       2622,             1906897,                 727,    2019,        8,       0,Annual Member                                     
       1186,             1977110,                1667,    2019,        8,       1,Casual Member                                     
      19723,            15166259,                 768,    2019,        9,      16,Annual Member                                     
